Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price,Owned,Captained
1114209,4664868,Boulbina,Adil,ALG,unexpected,midfielder,5,0.04,0.00
1114209,4664869,Aouar,Houssem,ALG,expected,midfielder,5.5,0.25,0.00
1114209,4664871,Ait-Nouri,Rayan,ALG,unexpected,defender,4.5,5.81,0.01
1114209,4664872,Maza,Ibrahim,ALG,expected,midfielder,6.5,1.23,0.01
1114209,4664873,Amoura,Mohamed,ALG,unexpected,forward,7,0.42,0.00
1114209,4664875,Hadjam,Jaouen,ALG,expected,defender,4.5,0.00,0.00
1114209,4664876,Belaid,Zineddine,ALG,unexpected,defender,4.5,0.00,0.00
1114209,4664878,Hadj Moussa,Anis,ALG,unexpected,midfielder,5,0.06,0.00
1114209,4664879,Belghali,Rafik,ALG,expected,defender,4.5,0.09,0.00
1114209,4664880,Abada,Achref,ALG,unexpected,defender,4,0.32,0.00
1114209,4664881,Mahrez,Riyad,ALG,expected,midfielder,6.5,1.51,0.00
1114209,4664884,Gouiri,Amine,ALG,expected,forward,6,1.76,0.00
1114209,4664885,Mandi,Aissa,ALG,expected,defender,4.5,0.07,0.00
1114209,4664887,Chaibi,Fares,ALG,expected,midfielder,6,0.06,0.00
1114209,4664888,Bensebaini,Ramy,ALG,expected,defender,4.5,0.24,0.00
1114209,4664889,Tougai,Mohamed Amine ,ALG,unexpected,defender,4,0.16,0.00
1114209,4664890,Bentaleb,Nabil,ALG,expected,midfielder,4.5,0.43,0.00
1114209,4664894,Zidane,Luca,ALG,unexpected,goalkeeper,4.5,1.08,0.00
1114209,4664896,Zerrouki,Ramiz,ALG,unexpected,midfielder,4.5,0.04,0.00
1114209,4664897,Boudaoui,Hicham,ALG,unexpected,midfielder,4.5,2.00,0.00
1114209,4664899,Rulli,Geronimo,ARG,unexpected,goalkeeper,5.5,0.06,0.00
1114209,4664900,Martinez,Emiliano,ARG,expected,goalkeeper,6,15.00,0.11
1114209,4664901,Musso,Juan,ARG,unexpected,goalkeeper,5,0.03,0.00
1114209,4664902,Tagliafico,Nicolas,ARG,unexpected,defender,6,2.47,0.00
1114209,4664903,Molina,Nahuel,ARG,expected,defender,6,2.02,0.00
1114209,4664904,Otamendi,Nicolas,ARG,expected,defender,6,2.15,0.01
1114209,4664905,Romero,Cristian,ARG,injured,defender,6,3.11,0.01
1114209,4664906,Martinez,Lissandro,ARG,expected,defender,6,1.14,0.00
1114209,4664908,Montiel,Gonzalo,ARG,unexpected,defender,6,0.15,0.00
1114209,4664911,Senesi,Marcos,ARG,possible,defender,5.5,0.16,0.00
1114209,4664913,Martinez,Lautaro,ARG,expected,forward,10,1.74,0.18
1114209,4664914,Paz,Nico,ARG,unexpected,midfielder,6.5,0.24,0.01
1114209,4664916,Paredes,Leandro,ARG,unexpected,midfielder,6,0.06,0.00
1114209,4664917,Messi,Lionel,ARG,expected,midfielder,11.5,34.65,16.02
1114209,4664918,Mac Allister,Alexis,ARG,expected,midfielder,7,1.47,0.02
1114209,4664919,Lo Celso,Giovani,ARG,unexpected,midfielder,6,0.00,0.00
1114209,4664920,Barco,Valentin,ARG,unexpected,midfielder,5.5,0.05,0.00
1114209,4664922,De Paul,Rodrigo,ARG,expected,midfielder,6,1.23,0.00
1114209,4664923,Lopez,Jose Manuel ,ARG,unexpected,forward,6.5,0.14,0.00
1114209,4664924,Gonzalez,Nico,ARG,unexpected,midfielder,8.5,0.14,0.00
1114209,4664925,Fernandez,Enzo,ARG,expected,midfielder,7,3.44,0.02
1114209,4664926,Almada,Thiago,ARG,expected,midfielder,8.5,0.06,0.00
1114209,4664927,Palacios,Exequiel,ARG,unexpected,midfielder,6,0.01,0.00
1114209,4664928,Simeone,Giuliano,ARG,unexpected,midfielder,8,0.09,0.00
1114209,4664929,Alvarez,Julian,ARG,possible,forward,9.5,8.17,1.28
1114209,4664931,Ryan,Mathew,AUS,unexpected,goalkeeper,4.5,0.47,0.00
1114209,4664932,Izzo,Paul,AUS,unexpected,goalkeeper,4,0.26,0.00
1114209,4664933,Souttar,Harry,AUS,expected,defender,4.5,0.67,0.00
1114209,4664934,Bos,Jordan,AUS,expected,defender,4.5,0.20,0.00
1114209,4664935,Degenek,Milos,AUS,unexpected,defender,4.5,0.01,0.00
1114209,4664936,Behich,Aziz,AUS,expected,defender,4.5,0.00,0.00
1114209,4664937,Circati,Alessandro,AUS,expected,defender,4.5,0.06,0.00
1114209,4664938,Italiano,Jacob,AUS,injured,defender,4,5.80,0.00
1114209,4664939,Geria,Jason,AUS,unexpected,defender,4.5,0.00,0.00
1114209,4664941,Burgess,Cameron,AUS,possible,defender,4.5,0.04,0.00
1114209,4664942,Herrington,Lucas,AUS,expected,defender,4,0.04,0.00
1114209,4664944,O'Neill,Aiden,AUS,expected,midfielder,4.5,0.38,0.00
1114209,4664945,Irvine,Jackson,AUS,possible,midfielder,5,0.22,0.00
1114209,4664946,Metcalfe,Connor,AUS,expected,midfielder,5,0.40,0.00
1114209,4664950,Velupillay,Nishan,AUS,unexpected,midfielder,5.5,0.00,0.00
1114209,4664951,Hrustic,Ajdin,AUS,unexpected,midfielder,4.5,0.96,0.00
1114209,4664953,Mabil,Awer,AUS,unexpected,midfielder,5.5,0.00,0.00
1114209,4664954,Irankunda,Nestory,AUS,possible,midfielder,5.5,0.22,0.00
1114209,4664962,Posch,Stefan,AUT,expected,defender,5,0.19,0.00
1114209,4664963,Alaba,David,AUT,expected,defender,5,3.15,0.00
1114209,4664965,Lienhart,Philipp,AUT,expected,defender,4.5,1.38,0.00
1114209,4664966,Danso,Kevin,AUT,unexpected,defender,4.5,0.12,0.00
1114209,4664967,Friedl,Marco,AUT,unexpected,defender,4,0.16,0.00
1114209,4664968,Laimer,Konrad,AUT,expected,defender,5,4.88,0.01
1114209,4664969,Pentz,Patrick,AUT,unexpected,goalkeeper,4.5,0.05,0.00
1114209,4664970,Mwene,Phillipp,AUT,expected,defender,4.5,0.67,0.00
1114209,4664972,Schlager,Alexander,AUT,expected,goalkeeper,4.5,6.27,0.00
1114209,4664973,Svoboda,Michael,AUT,unexpected,defender,4,0.05,0.00
1114209,4664974,Sabitzer,Marcel,AUT,expected,midfielder,7,4.29,0.02
1114209,4664975,Schmid,Romano,AUT,expected,midfielder,6,0.45,0.00
1114209,4664977,Schlager,Xaver,AUT,expected,midfielder,5,0.70,0.00
1114209,4664978,Seiwald,Nicolas,AUT,expected,midfielder,5,0.25,0.00
1114209,4664979,Prass,Alexander,AUT,unexpected,midfielder,4.5,0.01,0.00
1114209,4664981,Grillitsch,Florian,AUT,unexpected,midfielder,4.5,0.05,0.00
1114209,4664983,Chukwuemeka,Carney,AUT,unexpected,midfielder,5,0.04,0.00
1114209,4664984,Wimmer,Patrick,AUT,unexpected,midfielder,5.5,0.02,0.00
1114209,4664985,Wanner,Paul,AUT,unexpected,midfielder,5,0.01,0.00
1114209,4664988,Gregoritsch,Michael,AUT,possible,forward,6.5,2.98,0.00
1114209,4664990,Arnautovic,Marko,AUT,expected,forward,7.5,0.76,0.02
1114209,4664992,Kalajdzic,Sasa,AUT,unexpected,forward,6,0.02,0.00
1114209,4664993,Lammens,Senne,BEL,unexpected,goalkeeper,5,0.10,0.00
1114209,4664994,Courtois,Thibaut,BEL,expected,goalkeeper,5.5,10.70,0.06
1114209,4664997,De Cuyper,Maxim,BEL,expected,defender,6,5.73,0.04
1114209,4664999,De Winter,Koni,BEL,unexpected,defender,5,0.15,0.00
1114209,4665000,Seys,Joaquin,BEL,unexpected,defender,5,0.01,0.00
1114209,4665001,Debast,Zeno,BEL,injured,defender,5.5,0.01,0.00
1114209,4665002,Meunier,Thomas,BEL,possible,defender,6,2.76,0.00
1114209,4665003,Castagne,Timothy,BEL,expected,defender,6,0.08,0.00
1114209,4665004,Mechele,Brandon,BEL,expected,defender,5,1.95,0.00
1114209,4665005,Theate,Arthur,BEL,expected,defender,5.5,0.03,0.00
1114209,4665006,Ngoy,Nathan,BEL,possible,defender,5,0.84,0.00
1114209,4665007,Saelemaekers,Alexis,BEL,possible,midfielder,6.5,0.09,0.00
1114209,4665008,Onana,Amadou,BEL,unexpected,midfielder,5.5,0.47,0.00
1114209,4665009,Raskin,Nicolas,BEL,unexpected,midfielder,5,0.11,0.00
1114209,4665010,De Bruyne ,Kevin,BEL,expected,midfielder,8.5,8.25,0.66
1114209,4665011,Tielemans,Youri,BEL,expected,midfielder,6.5,2.88,0.04
1114209,4665013,Lukebakio,Dodi,BEL,unexpected,midfielder,7,0.01,0.00
1114209,4665014,Trossard,Leandro,BEL,expected,midfielder,7.5,3.48,0.14
1114209,4665016,Witsel,Axel,BEL,unexpected,midfielder,5,0.04,0.00
1114209,4665017,Vanaken,Hans,BEL,expected,midfielder,6,0.02,0.00
1114209,4665018,Doku,Jeremy,BEL,expected,midfielder,8,7.23,0.18
1114209,4665021,Lukaku,Romelu,BEL,expected,forward,9,2.65,0.52
1114209,4665023,De Ketelaere,Charles,BEL,unexpected,forward,7.5,0.67,0.00
1114209,4665025,Marquinhos,Marquinhos,BRA,expected,defender,6,5.71,0.09
1114209,4665029,Ederson,Ederson,BRA,unexpected,goalkeeper,6,0.19,0.00
1114209,4665030,Luiz,Danilo,BRA,expected,defender,6,1.21,0.00
1114209,4665031,Alisson,Alisson,BRA,expected,goalkeeper,6,6.19,0.05
1114209,4665032,Gabriel,Gabriel,BRA,expected,defender,6,14.13,0.06
1114209,4665034,Bremer,Bremer,BRA,unexpected,defender,5.5,0.01,0.00
1114209,4665035,Ibanez,Roger,BRA,unexpected,defender,5.5,0.01,0.00
1114209,4665037,Sandro,Alex,BRA,unexpected,defender,5.5,0.50,0.00
1114209,4665038,Santos,Douglas,BRA,expected,defender,5.5,1.47,0.00
1114209,4665040,Paqueta,Lucas,BRA,expected,midfielder,7.5,1.00,0.01
1114209,4665041,Guimaraes,Bruno,BRA,expected,midfielder,6.5,5.05,0.02
1114209,4665043,Casemiro,Casemiro,BRA,expected,midfielder,6,1.69,0.01
1114209,4665044,Neymar,Neymar,BRA,unexpected,midfielder,7.5,0.09,0.00
1114209,4665049,Martinelli,Gabriel,BRA,possible,midfielder,7,0.12,0.01
1114209,4665050,Vinicius Junior,Vinicius Junior,BRA,expected,midfielder,10.5,33.62,6.22
1114209,4665051,Endrick,Endrick,BRA,unexpected,forward,8,0.24,0.01
1114209,4665054,Fabinho,Fabinho,BRA,unexpected,midfielder,5.5,0.00,0.00
1114209,4665055,Henrique,Luiz,BRA,unexpected,midfielder,7,0.04,0.00
1114209,4665056,Raphinha,Raphinha,BRA,injured,midfielder,10,4.29,0.44
1114209,4665057,Cunha,Matheus,BRA,expected,forward,7.5,10.60,0.69
1114209,4665059,Thiago,Igor,BRA,unexpected,forward,7,0.50,0.01
1114209,4665060,Kone,Ismael,CAN,refuted,midfielder,5,0.45,0.00
1114209,4665061,Goodman,Owen,CAN,bench,goalkeeper,4,0.15,0.00
1114209,4665062,Sigur,Niko,CAN,bench,defender,5,0.02,0.00
1114209,4665063,Cornelius,Derek,CAN,confirmed,defender,4.5,1.20,0.01
1114209,4665065,Osorio ,Jonathan,CAN,bench,midfielder,5,0.00,0.00
1114209,4665066,Johnston,Alistair,CAN,confirmed,defender,4.5,1.61,0.00
1114209,4665067,Waterman,Joel,CAN,bench,defender,4.5,0.00,0.00
1114209,4665068,Saliba,Nathan-Dylan,CAN,confirmed,midfielder,5,0.22,0.00
1114209,4665069,De Fougerolles,Luc,CAN,bench,defender,4,11.18,0.00
1114209,4665071,Eustaquio,Stephen,CAN,confirmed,midfielder,5,0.24,0.00
1114209,4665072,Choiniere,Mathieu,CAN,bench,midfielder,4.5,0.01,0.00
1114209,4665073,Bombito ,Moise,CAN,confirmed,defender,4.5,0.03,0.00
1114209,4665074,Laryea,Richie,CAN,confirmed,defender,4.5,0.93,0.00
1114209,4665075,St. Clair,Dayne,CAN,bench,goalkeeper,4.5,0.05,0.00
