Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1126770,4664993,Lammens,Senne,BEL,unexpected,goalkeeper,9.1
1126770,4664994,Courtois,Thibaut,BEL,expected,goalkeeper,9.2
1126770,4664997,De Cuyper,Maxim,BEL,expected,defender,9
1126770,4664999,De Winter,Koni,BEL,unexpected,defender,8.3
1126770,4665000,Seys,Joaquin,BEL,unexpected,defender,8.2
1126770,4665001,Debast,Zeno,BEL,injured,defender,8.4
1126770,4665002,Meunier,Thomas,BEL,possible,defender,8.9
1126770,4665003,Castagne,Timothy,BEL,expected,defender,8.8
1126770,4665004,Mechele,Brandon,BEL,expected,defender,8.7
1126770,4665005,Theate,Arthur,BEL,unexpected,defender,8.6
1126770,4665006,Ngoy,Nathan,BEL,expected,defender,8.5
1126770,4665007,Saelemaekers,Alexis,BEL,possible,midfielder,8.6
1126770,4665008,Onana,Amadou,BEL,unexpected,midfielder,8.3
1126770,4665009,Raskin,Nicolas,BEL,unexpected,midfielder,8.1
1126770,4665010,De Bruyne ,Kevin,BEL,expected,midfielder,9.8
1126770,4665011,Tielemans,Youri,BEL,expected,midfielder,8.8
1126770,4665013,Lukebakio,Dodi,BEL,unexpected,midfielder,9.1
1126770,4665014,Trossard,Leandro,BEL,expected,midfielder,9.7
1126770,4665016,Witsel,Axel,BEL,unexpected,midfielder,8
1126770,4665017,Vanaken,Hans,BEL,expected,midfielder,8.5
1126770,4665018,Doku,Jeremy,BEL,expected,midfielder,9.3
1126770,4665021,Lukaku,Romelu,BEL,possible,forward,9.9
1126770,4665023,De Ketelaere,Charles,BEL,expected,forward,9.4
1126770,4665159,Vasilj,Nikola,BIH,expected,goalkeeper,4.7
1126770,4665160,Zlomislic,Martin,BIH,unexpected,goalkeeper,4.6
1126770,4665162,Muharemovic,Tarik,BIH,expected,defender,3.9
1126770,4665163,Dedic,Amar,BIH,expected,defender,4
1126770,4665164,Kolasinac,Sead,BIH,expected,defender,4.3
1126770,4665166,Katic,Nikola,BIH,expected,defender,4.1
1126770,4665167,Malic,Arjan,BIH,unexpected,defender,3.7
1126770,4665168,Mujakic,Nihad,BIH,unexpected,defender,3.5
1126770,4665169,Radeljic,Stjepan,BIH,possible,defender,3.6
1126770,4665171,Tahirovic,Benjamin,BIH,unexpected,midfielder,4.5
1126770,4665172,Memic,Amar,BIH,possible,midfielder,4.4
1126770,4665173,Gigovic,Armin,BIH,unexpected,midfielder,3.8
1126770,4665174,Sunjic,Ivan,BIH,expected,midfielder,4.1
1126770,4665176,Basic,Ivan,BIH,expected,midfielder,4.2
1126770,4665177,Burnic,Dzenis,BIH,unexpected,midfielder,3.9
1126770,4665178,Hadziahmetovic,Amir,BIH,unexpected,midfielder,4
1126770,4665179,Alajbegovic,Kerim,BIH,expected,midfielder,5
1126770,4665180,Bajraktarevic,Esmir,BIH,expected,midfielder,4.8
1126770,4665182,Bazdar,Samed,BIH,unexpected,midfielder,4.3
1126770,4665183,Demirovic,Ermedin,BIH,expected,forward,5.2
1126770,4665184,Tabakovic,Haris,BIH,unexpected,forward,4.6
1126770,4665185,Dzeko,Edin,BIH,expected,forward,5.3
1126770,4665186,Lukic,Jovo,BIH,unexpected,forward,5.1
1126770,4665187,Mpazi-Nzau,Lionel,COD,expected,goalkeeper,4.3
